index,player,pos,tm,mp_per_game,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,drb,ast,stl,blk,tov,pf,tspercent,x3par,ftr,orbpercent,drbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ows,dws,obpm,dbpm,i
29,Tom Boswell,PF,UTA,25.5,0.573,0.1,0.1,0.5,4.4,7.7,0.574,2.4,3.3,0.7290000000000001,1.7,3.6,1.9,0.4,0.5,2.3,3.5,0.617,0.017,0.425,8.3,16.1,10.9,0.8,1.1,20.0,19.6,2.1,0.5,0.3,-1.5,1980
30,Winford Boynes,SG,NJN,17.2,0.473,0.0,0.1,0.0,3.5,7.2,0.47700000000000004,1.6,2.1,0.765,0.8,1.3,1.5,0.9,0.3,1.5,2.1,0.518,0.009000000000000001,0.29100000000000004,4.8,7.7,12.8,2.4,0.9,15.4,21.8,0.3,1.3,-1.7,-0.6,1980
32,Dudley Bradley,SG,IND,24.7,0.452,0.0,0.1,0.4,3.3,7.4,0.452,1.7,2.1,0.782,0.8,1.9,3.1,2.6,0.6,2.0,2.4,0.502,0.008,0.28600000000000003,3.4,8.1,15.9,4.8,1.3,19.5,16.3,0.2,2.9,-1.5,2.2,1980
33,Mike Bratz,PG,PHO,19.4,0.392,0.3,1.0,0.244,3.0,7.3,0.413,1.7,2.0,0.87,0.6,1.4,2.7,1.1,0.1,1.6,2.0,0.462,0.125,0.23600000000000002,3.5,7.9,19.1,2.7,0.3,15.1,22.3,-0.5,2.0,-2.1,-0.5,1980
34,Jim Brewer,PF,POR,15.2,0.489,0.0,0.1,0.0,1.3,2.7,0.503,0.2,0.4,0.483,1.5,2.3,1.1,0.6,0.6,0.7,1.9,0.493,0.027000000000000003,0.158,10.8,17.1,9.6,2.0,2.5,19.3,9.8,0.5,1.5,-1.6,2.8,1980
35,Ron Brewer,SG,POR,34.3,0.46399999999999997,0.1,0.4,0.188,6.6,14.0,0.47100000000000003,2.2,2.7,0.84,0.7,2.0,2.6,1.2,0.6,2.0,1.9,0.503,0.027000000000000003,0.185,2.1,6.3,11.5,1.7,1.0,11.6,21.1,2.0,2.3,-0.9,-0.9,1980
36,Junior Bridgeman,SF,MIL,28.6,0.478,0.1,0.3,0.185,7.3,15.0,0.484,2.8,3.3,0.865,1.3,2.4,2.9,1.2,0.2,2.1,2.7,0.523,0.022000000000000002,0.214,5.0,9.0,15.2,1.9,0.5,11.2,26.3,3.6,2.5,1.2,-1.1,1980
37,Allan Bristow,SF,UTA,28.1,0.48,0.0,0.1,0.28600000000000003,4.6,9.5,0.48200000000000004,2.4,3.0,0.8109999999999999,2.1,4.2,4.2,1.1,0.1,2.2,2.6,0.534,0.009000000000000001,0.31,9.0,16.7,21.4,1.9,0.1,16.7,20.0,3.2,1.2,1.3,-0.3,1980
38,Fred Brown,SG,SEA,21.3,0.479,0.5,1.1,0.44299999999999995,4.6,9.4,0.483,1.4,1.7,0.8370000000000001,0.4,1.5,2.2,0.8,0.2,1.3,1.5,0.532,0.10400000000000001,0.16,2.2,7.5,15.5,1.8,0.6,10.4,23.4,2.8,2.1,0.8,-1.5,1980
43,Joe Bryant,PF,SDC,28.7,0.431,0.1,0.4,0.147,3.6,8.0,0.446,2.0,2.7,0.742,2.1,4.3,1.8,1.3,0.5,2.1,3.2,0.485,0.05,0.318,7.7,16.6,8.1,2.1,0.9,17.9,16.3,0.1,1.7,-1.9,0.6,1980
44,Quinn Buckner,PG,MIL,25.2,0.467,0.0,0.1,0.4,4.5,9.7,0.46799999999999997,1.6,2.1,0.7340000000000001,1.0,2.5,5.7,2.0,0.1,2.2,3.0,0.501,0.008,0.218,4.6,10.5,30.2,3.7,0.1,17.2,20.4,1.7,2.7,1.0,1.2,1980
46,Don Buse,PG,PHO,30.9,0.44299999999999995,0.2,1.0,0.24100000000000002,3.0,6.3,0.475,1.0,1.6,0.664,0.9,2.0,4.0,1.6,0.1,1.1,1.4,0.485,0.134,0.217,3.1,7.0,16.0,2.4,0.2,12.4,11.7,1.7,2.9,-0.7,1.1,1980
49,Mack Calvin,PG,UTA,16.1,0.441,0.0,0.2,0.091,2.1,4.5,0.45799999999999996,2.2,2.4,0.897,0.3,1.5,2.8,0.6,0.0,1.2,1.5,0.5489999999999999,0.048,0.515,2.0,10.4,24.0,1.7,0.0,17.0,18.7,1.2,0.2,-0.7,-2.7,1980
50,Austin Carr,SG,CLE,20.7,0.465,0.0,0.1,0.33299999999999996,5.0,10.8,0.466,1.6,2.2,0.738,1.1,1.1,1.9,0.5,0.0,1.4,1.6,0.49700000000000005,0.006999999999999999,0.205,5.1,5.8,13.2,1.1,0.1,10.6,24.6,1.3,0.6,-0.1,-2.7,1980
51,Kenny Carr,PF,TOT,23.3,0.49200000000000005,0.0,0.1,0.0,4.8,9.7,0.495,2.2,3.3,0.6579999999999999,2.5,4.9,1.0,0.8,0.7,1.9,3.1,0.526,0.005,0.342,11.0,23.3,5.6,1.6,1.5,14.8,21.7,1.4,2.3,-1.0,-0.2,1980
53,Kenny Carr,PF,CLE,24.1,0.493,0.0,0.1,0.0,5.0,10.1,0.496,2.3,3.5,0.655,2.6,5.1,1.0,0.9,0.7,2.0,3.2,0.527,0.005,0.34700000000000003,11.0,23.4,5.7,1.6,1.5,14.3,21.8,1.6,2.3,-0.7,-0.2,1980
54,M.L. Carr,SF,BOS,24.3,0.474,0.1,0.5,0.293,4.3,8.8,0.485,2.2,2.9,0.7390000000000001,1.3,2.7,1.9,1.5,0.4,1.7,2.6,0.526,0.054000000000000006,0.316,6.0,12.3,10.7,2.8,1.0,14.1,20.2,1.9,3.2,-0.2,1.5,1980
